chimera,replicate,24,48,72,96
Senegal strain (Chimera 1),1,47000,3400000,5600000,14000000
Senegal strain (Chimera 1),2,44000,1800000,5000000,19000000
Senegal strain (Chimera 1),3,36000,2400000,5900000,20000000
Thailand strain (Chimera 2),1,27000,180000,530000,900000
Thailand strain (Chimera 2),2,24000,220000,260000,2600000
Thailand strain (Chimera 2),3,16000,280000,450000,2000000
Chimera 3,1,45000,1900000,2700000,450000
Chimera 3,2,49000,1400000,1900000,330000
Chimera 3,3,42000,1400000,2000000,580000
Chimera 4,1,8000,390000,750000,500000
Chimera 4,2,6000,390000,1000000,340000
Chimera 4,3,11000,360000,900000,580000
Chimera 5,1,32000,640000,650000,360000
Chimera 5,2,21000,470000,410000,280000
Chimera 5,3,16000,230000,470000,290000
Chimera 6,1,540000,1500000,6100000,8200000
Chimera 6,2,380000,2600000,4900000,5800000
Chimera 6,3,800000,3100000,6100000,7200000
Chimera 7,1,47000,3800000,2500000,3600000
Chimera 7,2,27000,2600000,3600000,2400000
Chimera 7,3,35000,2400000,3900000,4200000
Chimera 8,1,38000,290000,590000,440000
Chimera 8,2,19000,340000,410000,500000
Chimera 8,3,14000,260000,400000,290000
